date,s̩rum vitamine C
2020-12-27,53
2021-01-03,46
2021-01-10,33
2021-01-17,42
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,51
2021-02-21,49
2021-02-28,44
2021-03-07,38
2021-03-14,0
2021-03-21,40
2021-03-28,0
2021-04-04,0
2021-04-11,39
2021-04-18,35
2021-04-25,43
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,47
2021-05-30,41
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,42
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,42
2021-10-10,0
2021-10-17,61
2021-10-24,0
2021-10-31,0
2021-11-07,56
2021-11-14,0
2021-11-21,0
2021-11-28,45
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,42
2022-02-13,37
2022-02-20,44
2022-02-27,38
2022-03-06,66
2022-03-13,52
2022-03-20,49
2022-03-27,54
2022-04-03,48
2022-04-10,0
2022-04-17,41
2022-04-24,36
2022-05-01,38
2022-05-08,53
2022-05-15,31
2022-05-22,0
2022-05-29,44
2022-06-05,52
2022-06-12,73
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,33
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,52
2022-08-28,59
2022-09-04,36
2022-09-11,60
2022-09-18,46
2022-09-25,32
2022-10-02,55
2022-10-09,34
2022-10-16,59
2022-10-23,90
2022-10-30,50
2022-11-06,75
2022-11-13,61
2022-11-20,63
2022-11-27,61
2022-12-04,45
2022-12-11,40
2022-12-18,54
2022-12-25,56
2023-01-01,66
2023-01-08,72
2023-01-15,65
2023-01-22,86
2023-01-29,90
2023-02-05,69
2023-02-12,65
2023-02-19,76
2023-02-26,61
2023-03-05,100
2023-03-12,60
2023-03-19,76
2023-03-26,78
2023-04-02,72
2023-04-09,74
2023-04-16,54
2023-04-23,86
2023-04-30,72
2023-05-07,75
2023-05-14,63
2023-05-21,56
2023-05-28,66
2023-06-04,71
2023-06-11,47
2023-06-18,57
2023-06-25,57
2023-07-02,61
2023-07-09,69
2023-07-16,45
2023-07-23,34
2023-07-30,34
2023-08-06,71
2023-08-13,64
2023-08-20,73
2023-08-27,64
2023-09-03,72
2023-09-10,75
2023-09-17,57
2023-09-24,58
2023-10-01,50
2023-10-08,73
2023-10-15,77
2023-10-22,75
2023-10-29,58
2023-11-05,0
2023-11-12,58
2023-11-19,61
2023-11-26,71
2023-12-03,88
2023-12-10,59
2023-12-17,59
2023-12-24,53
2023-12-31,80
