date,vernis Ã  ongles
2020-12-27,65
2021-01-03,41
2021-01-10,49
2021-01-17,41
2021-01-24,37
2021-01-31,39
2021-02-07,35
2021-02-14,42
2021-02-21,40
2021-02-28,37
2021-03-07,43
2021-03-14,36
2021-03-21,49
2021-03-28,39
2021-04-04,45
2021-04-11,48
2021-04-18,54
2021-04-25,44
2021-05-02,49
2021-05-09,50
2021-05-16,31
2021-05-23,53
2021-05-30,63
2021-06-06,65
2021-06-13,56
2021-06-20,58
2021-06-27,61
2021-07-04,70
2021-07-11,61
2021-07-18,68
2021-07-25,71
2021-08-01,70
2021-08-08,61
2021-08-15,69
2021-08-22,69
2021-08-29,62
2021-09-05,46
2021-09-12,52
2021-09-19,46
2021-09-26,43
2021-10-03,44
2021-10-10,45
2021-10-17,43
2021-10-24,47
2021-10-31,45
2021-11-07,60
2021-11-14,49
2021-11-21,57
2021-11-28,62
2021-12-05,74
2021-12-12,60
2021-12-19,66
2021-12-26,64
2022-01-02,50
2022-01-09,47
2022-01-16,49
2022-01-23,51
2022-01-30,50
2022-02-06,45
2022-02-13,57
2022-02-20,50
2022-02-27,42
2022-03-06,52
2022-03-13,39
2022-03-20,61
2022-03-27,53
2022-04-03,56
2022-04-10,50
2022-04-17,58
2022-04-24,73
2022-05-01,65
2022-05-08,69
2022-05-15,70
2022-05-22,67
2022-05-29,79
2022-06-05,78
2022-06-12,72
2022-06-19,85
2022-06-26,89
2022-07-03,91
2022-07-10,79
2022-07-17,100
2022-07-24,95
2022-07-31,87
2022-08-07,78
2022-08-14,77
2022-08-21,83
2022-08-28,75
2022-09-04,53
2022-09-11,62
2022-09-18,54
2022-09-25,52
2022-10-02,58
2022-10-09,54
2022-10-16,50
2022-10-23,65
2022-10-30,59
2022-11-06,62
2022-11-13,64
2022-11-20,58
2022-11-27,55
2022-12-04,64
2022-12-11,69
2022-12-18,80
2022-12-25,72
2023-01-01,59
2023-01-08,56
2023-01-15,45
2023-01-22,46
2023-01-29,51
2023-02-05,49
2023-02-12,49
2023-02-19,57
2023-02-26,58
2023-03-05,44
2023-03-12,52
2023-03-19,41
2023-03-26,51
2023-04-02,42
2023-04-09,49
2023-04-16,50
2023-04-23,63
2023-04-30,56
2023-05-07,69
2023-05-14,63
2023-05-21,64
2023-05-28,88
2023-06-04,83
2023-06-11,83
2023-06-18,86
2023-06-25,83
2023-07-02,79
2023-07-09,76
2023-07-16,75
2023-07-23,80
2023-07-30,86
2023-08-06,74
2023-08-13,63
2023-08-20,63
2023-08-27,57
2023-09-03,54
2023-09-10,49
2023-09-17,55
2023-09-24,44
2023-10-01,54
2023-10-08,57
2023-10-15,49
2023-10-22,50
2023-10-29,57
2023-11-05,58
2023-11-12,55
2023-11-19,62
2023-11-26,71
2023-12-03,65
2023-12-10,79
2023-12-17,80
2023-12-24,65
2023-12-31,47
